age,workclass,education,maritalstatus,occupation,relationship,race,sex,hoursperweek,country,income
18-21,?,11th,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,24,United-States,LesjsThan50K
18-21,Private,11th,Never-married,Other-service,Own-child,White,Female,28,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,37,United-States,LessThan50K
18-21,Private,11th,Separated,Craft-repair,Own-child,Black,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,25,United-States,LessThan50oK
18-21,?,HS-grad,Never-married,?,Own-child,White,Male,40,United-States,essThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,18-21,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,Own-child,White,Male,44,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,9th,Never-married,Craft-repair,Own-child,White,Male,18-21,United-States,eLssThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,25,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,LessThan5K0
18-21,Private,Some-college,Never-married,Other-service,Own-child,Black,Male,35,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,30,Mexico,LemssThan50K
18-21,?,HS-grad,Never-married,?,Own-child,White,Male,40,Italy,LessThan50K
18-21,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,LesstThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,24,Canada,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,Black,Female,25,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,Unmarried,Black,Male,30,Haiti,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,16,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Other-relative,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Black,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Protective-serv,Own-child,White,Male,8,United-States,LessThan5v0K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,28,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,14,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,State-gov,HS-grad,Never-married,Tech-support,Own-child,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Other-relative,White,Female,25,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,30,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,10,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,Own-child,White,Male,30,United-States,LesThan50K
18-21,?,HS-grad,Never-married,?,Unmarried,White,Male,40,United-States,LessThan50K
18-21,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Own-child,White,Male,18-21,United-States,eLssThan50K
18-21,Local-gov,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,35,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,Own-child,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,25,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,50,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
18-21,Federal-gov,HS-grad,Never-married,Adm-clerical,Unmarried,Black,Female,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,50,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,LessThan50K
18-21,?,Bachelors,Never-married,?,Own-child,Black,Female,40,Jamaica,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,LessThan50K
18-21,Private,11th,Never-married,Machine-op-inspct,Own-child,White,Male,60,United-States,LesThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,18-21,United-States,LssThan50K
18-21,Private,HS-grad,Never-married,Sales,Own-child,White,Male,50,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,10,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Male,36,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,45,United-States,LessThan5K0
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Priv-house-serv,Not-in-family,White,Female,45,?,LessThan50K
18-21,?,Some-college,Never-married,?,Other-relative,Amer-Indian-Eskimo,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,30,United-States,LessThan50K***
18-21,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,45,United-States,essThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,10,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,Own-child,White,Female,35,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,Own-child,White,Male,3,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,25,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,40,United-States,LessThban50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,35,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,Black,Male,30,United-States,LessThan50K
18-21,Private,10th,Never-married,Sales,Unmarried,Black,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,White,Male,45,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,40,Vietnam,LessThan50K
18-21,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,White,Male,50,United-States,LessThan50K
18-21,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,40,Mexico,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,25,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,40,United-States,LessThan50K
18-21,Federal-gov,HS-grad,Married-AF-spouse,Sales,Wife,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,40,United-States,LessThaun50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,30,United-States,LessThan50K
18-21,Private,5th-6th,Never-married,Farming-fishing,Not-in-family,White,Male,36,Mexico,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,50,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,28,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,25,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,25,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,Own-child,White,Female,12,United-States,LessThan50K
18-21,?,7th-8th,Never-married,?,Not-in-family,White,Male,40,Mexico,LessThan50K
18-21,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,18-21,United-States,LessThan50K
18-21,Self-emp-not-inc,Some-college,Never-married,Other-service,Own-child,White,Female,22,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,50,United-States,LesszThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,18-21,United-States,LesThan50K
18-21,Private,11th,Never-married,Other-service,Other-relative,White,Male,18-21,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,35,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Farming-fishing,Own-child,White,Male,66,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,Black,Male,24,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,14,United-States,LessTha50K
18-21,State-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,15,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,42,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,45,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Tech-support,Own-child,White,Male,16,United-States,LessThna50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
18-21,?,11th,Never-married,?,Own-child,White,Female,30,United-States,LessThan50K
18-21,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,essThan50K
18-21,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,18-21,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,50,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,25,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,Other-relative,Asian-Pac-Islander,Female,12,South,LessThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,26,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,30,United-States,LessThan50K
18-21,Private,11th,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,18-21,United-States,LessThan50K
18-21,?,9th,Never-married,?,Not-in-family,White,Female,25,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,25,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,10,United-States,LessThan50K
18-21,Federal-gov,12th,Never-married,Other-service,Own-child,White,Female,30,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,Not-in-family,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,55,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,24,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,30,United-States,LessThan50K
18-21,Local-gov,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,Not-in-family,Black,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Female,25,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Prof-specialty,Own-child,White,Male,40,United-States,LessThan50K
18-21,State-gov,Some-college,Never-married,Prof-specialty,Own-child,White,Male,25,United-States,LessThan50K
18-21,Self-emp-not-inc,10th,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,30,United-States,LessThan50K
18-21,Private,7th-8th,Never-married,Craft-repair,Own-child,White,Male,32,United-States,LessThan5K
18-21,Private,10th,Never-married,Other-service,Other-relative,White,Female,30,United-States,LessThan50K
18-21,State-gov,Some-college,Never-married,Other-service,Own-child,White,Female,40,United-States,LessThan50K
18-21,Private,5th-6th,Never-married,Other-service,Not-in-family,White,Male,50,Guatemala,LessThan50K
18-21,Private,10th,Divorced,Other-service,Not-in-family,White,Female,40,United-States,LessThan50K
18-21,Private,12th,Never-married,Other-service,Own-child,White,Male,16,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,24,United-States,LesThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,United-States,LsesThan50K
18-21,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Transport-moving,Own-child,White,Male,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,United-States,LessTahn50K
18-21,State-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,10,United-States,LessThan5K
18-21,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Protective-serv,Own-child,White,Female,30,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,10,United-States,LessThan50K
18-21,?,11th,Never-married,?,Unmarried,White,Female,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,Black,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Other-relative,White,Female,25,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Black,Female,40,United-States,LessThan50K
18-21,Self-emp-not-inc,11th,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Male,35,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,50,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,LessThan50K
18-21,Private,11th,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,25,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,14,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Other-relative,Black,Female,38,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,35,United-States,LssThan50K
18-21,?,HS-grad,Never-married,?,Own-child,White,Male,40,Portugal,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,10,United-States,LessThan50K
18-21,Private,Assoc-voc,Never-married,Adm-clerical,Own-child,Black,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,38,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,Black,Male,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,30,United-States,LessThan50K
18-21,Private,7th-8th,Never-married,Transport-moving,Unmarried,White,Male,25,Guatemala,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,40,United-States,LessThan50K
18-21,Private,10th,Never-married,Other-service,Not-in-family,White,Female,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,40,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,Other-relative,White,Female,15,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,Other-relative,Black,Male,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,25,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Other-relative,White,Female,35,United-States,LessThan50K
18-21,Private,12th,Never-married,Handlers-cleaners,Own-child,White,Male,18-21,United-States,Lesshan50K
18-21,Private,7th-8th,Never-married,Other-service,Own-child,White,Male,60,United-States,MoreThan50K
18-21,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,16,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,35,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,15,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Other-relative,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Male,24,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,45,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,35,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,dLessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40,Puerto-Rico,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Unmarried,White,Male,40,United-States,LessThan50K
18-21,Private,Assoc-voc,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,16,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,15,United-States,LessThan50K
18-21,Private,Some-college,Married-spouse-absent,Sales,Own-child,White,Female,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,10,United-States,LessThan50K
18-21,State-gov,11th,Never-married,Other-service,Own-child,White,Male,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,35,United-States,LesshTan50K
18-21,Local-gov,HS-grad,Never-married,Craft-repair,Other-relative,Black,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,58,United-States,LessThan50K
18-21,State-gov,Some-college,Never-married,Prof-specialty,Own-child,White,Male,10,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Male,35,United-States,LessThan50K
18-21,?,10th,Never-married,?,Unmarried,White,Female,35,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,Not-in-family,Other,Male,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,LessThan50K
18-21,Private,12th,Separated,Prof-specialty,Own-child,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Married-civ-spouse,Other-service,Wife,Black,Female,16,United-States,LessThan50K
18-21,Without-pay,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,18-21,United-States,LessThan50K
18-21,Private,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,60,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,24,United-States,LessThan50K***
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,10,Thailand,LessTha5n0K
18-21,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,40,?,LessThan50K
18-21,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,25,United-States,essThan50K
18-21,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Black,Male,32,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,30,Japan,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,15,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,Black,Male,30,United-States,LessThan50K
18-21,Private,11th,Never-married,Craft-repair,Not-in-family,White,Male,56,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,26,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,35,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Male,18-21,United-States,LessTahan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,Some-college,Separated,Sales,Unmarried,White,Female,25,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,Own-child,White,Female,28,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,Own-child,White,Male,40,United-States,eLssThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,White,Male,40,Mexico,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,84,United-States,LesTshan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,18-21,United-States,LesvsThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,35,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,18-21,England,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,Own-child,White,Female,24,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Own-child,Black,Male,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,30,United-States,LssThan50K
18-21,Private,10th,Never-married,Other-service,Other-relative,Black,Female,18-21,United-States,LessThan50K
18-21,Self-emp-not-inc,HS-grad,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,30,United-States,LessThan50K
18-21,Private,7th-8th,Never-married,Other-service,Not-in-family,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Transport-moving,Own-child,White,Male,40,United-States,Lesshan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,9,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Tech-support,Own-child,White,Male,40,United-States,LsesThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,40,United-States,Lesshan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,Own-child,White,Female,35,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,15,United-States,LessThan50K
18-21,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,LessThan50K
18-21,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Not-in-family,White,Female,15,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,25,?,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,Own-child,White,Male,25,United-States,LehssThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Male,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,40,United-States,LessThan50K
18-21,State-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,15,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,30,United-States,LessThagn50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,LessThan50K***
18-21,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,16,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Female,25,United-States,LessThan50K
18-21,Private,12th,Married-spouse-absent,Other-service,Own-child,Other,Female,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,Own-child,White,Female,15,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,35,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,Not-in-family,White,Female,40,United-States,LessThan50K
