tid,attribute,correct_val
179,license,2016793
179,facilitytype,restaurant
179,risk,risk 1 (high)
179,address,1050 n milwaukee ave 
179,city,chicago
179,state,il
179,zip,60642
179,inspectiondate,02/01/2010
179,inspectiontype,license re-inspection
179,results,pass
179,latitude,41.90088615
179,longitude,-87.66285624
180,inspectionid,58290
180,dbaname,moonshine
180,akaname,moonshine
180,license,1243382
180,facilitytype,restaurant
180,risk,risk 1 (high)
180,address,1824 w division st 
180,city,chicago
180,state,il
180,zip,60622
180,inspectiondate,02/01/2010
180,inspectiontype,canvass
180,results,fail
180,latitude,41.90335951
180,longitude,-87.67339734
181,inspectionid,58291
181,dbaname,las palmas restaurant
181,akaname,las palmas restaurant
181,license,1166786
181,facilitytype,restaurant
181,risk,risk 1 (high)
181,address,1835 w north ave 
181,city,chicago
181,state,il
181,zip,60622
181,inspectiondate,02/01/2010
181,inspectiontype,no entry
181,results,pass
181,latitude,41.91042963
181,longitude,-87.67394168
182,inspectionid,58292
182,dbaname,lockdown bar & grill
182,akaname,lockdown bar & grill
182,license,1965180
182,facilitytype,restaurant
182,risk,risk 1 (high)
182,address,1024 n western ave 
182,city,chicago
182,state,il
182,zip,60622
182,inspectiondate,02/01/2010
182,inspectiontype,no entry
182,results,pass
182,latitude,41.90024592
182,longitude,-87.68710609
183,inspectionid,58293
183,dbaname,jerry's sandwiches
183,akaname,jerry's sandwiches
183,license,1985220
183,facilitytype,restaurant
183,risk,risk 1 (high)
183,address,1938-1940 w division st 
183,city,chicago
183,state,il
183,zip,60622
183,inspectiondate,02/02/2010
183,inspectiontype,license re-inspection
183,results,pass
183,latitude,41.90331444
183,longitude,-87.67641672
184,inspectionid,58294
184,dbaname,jerry's sandwiches
184,akaname,jerry's sandwiches
184,license,1985222
184,facilitytype,restaurant
184,risk,risk 1 (high)
184,address,1938-1940 w division st 
184,city,chicago
184,state,il
184,zip,60622
184,inspectiondate,02/02/2010
184,inspectiontype,license re-inspection
184,results,pass
184,latitude,41.90331444
184,longitude,-87.67641672
185,inspectionid,58295
185,dbaname,bite
185,akaname,bite
185,license,51992
185,facilitytype,restaurant
185,risk,risk 1 (high)
185,address,1039 n western ave 
185,city,chicago
185,state,il
185,zip,60622
185,inspectiondate,02/02/2010
185,inspectiontype,canvass re-inspection
185,results,pass
185,latitude,41.90052793
185,longitude,-87.68681613
186,inspectionid,58296
186,dbaname,whole foods market
186,akaname,whole foods market
186,license,1933690
186,facilitytype,grocery store
186,risk,risk 1 (high)
186,address,1550 n kingsbury st 
186,city,chicago
186,state,il
186,zip,60642
186,inspectiondate,02/03/2010
186,inspectiontype,consultation
186,results,pass
186,latitude,41.90939879
186,longitude,-87.6530507
187,inspectionid,58297
187,dbaname,letiza's natural bakery / enoteca roma
187,akaname,letiza's natural bakery / enoteca roma
187,license,1489064
187,facilitytype,restaurant
187,risk,risk 1 (high)
187,address,2144-2146 w division st 
187,city,chicago
187,state,il
187,zip,60622
187,inspectiondate,02/03/2010
187,inspectiontype,complaint
187,results,pass w/ conditions
187,latitude,41.90322676
187,longitude,-87.68149122
188,inspectionid,58298
188,dbaname,zullo's inc.
188,akaname,zullo's inc.
188,license,2017431
188,facilitytype,catering
188,risk,risk 1 (high)
188,address,1103 w grand ave 
188,city,chicago
188,state,il
188,zip,60642
188,inspectiondate,02/04/2010
188,inspectiontype,license
188,results,fail
188,latitude,41.89099764
188,longitude,-87.6547725
189,inspectionid,58299
189,dbaname,alliance bakery
189,akaname,alliance bakery
189,license,1820302
189,facilitytype,bakery
189,risk,risk 2 (medium)
189,address,1736 w division st 
189,city,chicago
189,state,il
189,zip,60622
189,inspectiondate,02/04/2010
189,inspectiontype,complaint re-inspection
189,results,pass
189,latitude,41.90338992
189,longitude,-87.67152182
190,inspectionid,58300
190,dbaname,kitchen chicago
190,akaname,kitchen chicago
190,license,1976048
190,facilitytype,shared kitchen
190,risk,risk 1 (high)
190,address,324 n leavitt st 
190,city,chicago
190,state,il
190,zip,60612
190,inspectiondate,02/04/2010
190,inspectiontype,canvass
190,results,fail
190,latitude,41.88743405
190,longitude,-87.68184949
191,inspectionid,58301
191,dbaname,stanley's
191,akaname,stanley's
191,license,15042
191,facilitytype,grocery store
191,risk,risk 2 (medium)
191,address,1558 n elston ave 
191,city,chicago
191,state,il
191,zip,60642
191,inspectiondate,02/05/2010
191,inspectiontype,complaint
191,results,fail
191,latitude,41.91057467
191,longitude,-87.66223523
192,inspectionid,58302
192,dbaname,flora confections
192,akaname,flora confections
192,license,2017593
192,facilitytype,candy
192,risk,risk 3 (low)
192,address,324 n leavitt st 
192,city,chicago
192,state,il
192,zip,60612
192,inspectiondate,02/08/2010
192,inspectiontype,license re-inspection
192,results,pass
192,latitude,41.88743405
192,longitude,-87.68184949
193,inspectionid,58303
193,dbaname,kitchen chicago
193,akaname,kitchen chicago
193,license,1976048
193,facilitytype,shared kitchen
193,risk,risk 1 (high)
193,address,324 n leavitt st 
193,city,chicago
193,state,il
193,zip,60612
193,inspectiondate,02/08/2010
193,inspectiontype,canvass re-inspection
193,results,pass
193,latitude,41.88743405
193,longitude,-87.68184949
194,inspectionid,58304
194,dbaname,lab kitchen b-room 120b.
194,akaname,lab kitchen b-room 120b.
194,license,2013962
194,facilitytype,school
194,risk,risk 1 (high)
194,address,900 n north branch st 
194,city,chicago
194,state,il
194,zip,60642
194,inspectiondate,02/09/2010
194,inspectiontype,license
194,results,pass
194,latitude,41.89896533
194,longitude,-87.64809026
195,inspectionid,58305
195,dbaname,artemio's bakery #2
195,akaname,artemio's bakery #2
195,license,15004
195,facilitytype,bakery
195,risk,risk 2 (medium)
195,address,1443 n milwaukee ave 
195,city,chicago
195,state,il
195,zip,60622
195,inspectiondate,02/10/2010
195,inspectiontype,canvass
195,results,pass
195,latitude,41.90821988
195,longitude,-87.67386766
196,inspectionid,58306
196,dbaname,moonshine
196,akaname,moonshine
196,license,1243382
196,facilitytype,restaurant
196,risk,risk 1 (high)
196,address,1824 w division st 
196,city,chicago
196,state,il
196,zip,60622
196,inspectiondate,02/10/2010
196,inspectiontype,canvass re-inspection
196,results,pass
196,latitude,41.90335951
196,longitude,-87.67339734
197,inspectionid,58307
197,dbaname,tantrik chicago
197,akaname,tantrik chicago
197,license,1974373
197,facilitytype,liquor
197,risk,risk 1 (high)
197,address,800 w superior st 
197,city,chicago
197,state,il
197,zip,60642
197,inspectiondate,02/10/2010
197,inspectiontype,license re-inspection
197,results,fail
197,latitude,41.89566757
197,longitude,-87.64777938
198,inspectionid,58308
198,dbaname,a tavola
198,akaname,a tavola
198,license,45044
198,facilitytype,restaurant
198,risk,risk 1 (high)
198,address,2148 w chicago ave 
198,city,chicago
198,state,il
198,zip,60622
198,inspectiondate,02/10/2010
198,inspectiontype,canvass
198,results,fail
198,latitude,41.89594582
198,longitude,-87.68145004
199,inspectionid,58309
199,dbaname,stanley's
199,akaname,stanley's
199,license,15042
199,facilitytype,grocery store
199,risk,risk 2 (medium)
199,address,1558 n elston ave 
199,city,chicago
199,state,il
199,zip,60642
199,inspectiondate,02/16/2010
199,inspectiontype,complaint re-inspection
199,results,pass
199,latitude,41.91057467
199,longitude,-87.66223523
200,inspectionid,58310
200,dbaname,stanley's
200,akaname,stanley's
200,license,15042
200,facilitytype,grocery store
200,risk,risk 2 (medium)
200,address,1558 n elston ave 
200,city,chicago
200,state,il
200,zip,60642
200,inspectiondate,02/17/2010
200,inspectiontype,consultation
200,results,pass
200,latitude,41.91057467
200,longitude,-87.66223523
201,inspectionid,58311
201,dbaname,zullo's inc.
201,akaname,zullo's inc.
201,license,2017431
201,facilitytype,catering
201,risk,risk 1 (high)
201,address,1103 w grand ave 
201,city,chicago
201,state,il
201,zip,60642
201,inspectiondate,02/17/2010
201,inspectiontype,license re-inspection
201,results,pass
201,latitude,41.89099764
201,longitude,-87.6547725
202,inspectionid,58312
202,dbaname,bari
202,akaname,bari
202,license,1245246
202,facilitytype,grocery store
202,risk,risk 1 (high)
202,address,1120 w grand ave 
202,city,chicago
202,state,il
202,zip,60642
202,inspectiondate,02/17/2010
202,inspectiontype,complaint
202,results,pass
202,latitude,41.89121012
202,longitude,-87.65556024
203,inspectionid,58313
203,dbaname,municipal foods
203,akaname,municipal foods
203,license,1478386
203,facilitytype,grocery store
203,risk,risk 2 (medium)
203,address,2559 w division st 
203,city,chicago
203,state,il
203,zip,60622
203,inspectiondate,02/18/2010
203,inspectiontype,complaint
203,results,pass w/ conditions
203,latitude,41.90285923
203,longitude,-87.69188858
204,inspectionid,58314
204,dbaname,western round up
204,akaname,western round up
204,license,59381
204,facilitytype,
204,risk,risk 1 (high)
204,address,949 n western ave 
204,city,chicago
204,state,il
204,zip,60622
204,inspectiondate,02/18/2010
204,inspectiontype,short form complaint
204,results,pass
204,latitude,41.89902107
204,longitude,-87.68677928
205,inspectionid,58315
205,dbaname,tantrik chicago
205,akaname,tantrik chicago
205,license,1974373
205,facilitytype,liquor
205,risk,risk 1 (high)
205,address,800 w superior st 
205,city,chicago
205,state,il
205,zip,60642
205,inspectiondate,02/18/2010
205,inspectiontype,license re-inspection
205,results,pass
205,latitude,41.89566757
205,longitude,-87.64777938
206,inspectionid,58316
206,dbaname,starfruit cafe
206,akaname,starfruit cafe
206,license,1893555
206,facilitytype,restaurant
206,risk,risk 2 (medium)
206,address,1745 w division st 
206,city,chicago
206,state,il
206,zip,60622
206,inspectiondate,02/18/2010
206,inspectiontype,canvass
206,results,pass
206,latitude,41.90316856
206,longitude,-87.67164495
207,inspectionid,58317
207,dbaname,the red canary
207,akaname,the red canary
207,license,1954520
207,facilitytype,restaurant
207,risk,risk 1 (high)
207,address,691-695 n milwaukee ave 
207,city,chicago
207,state,il
207,zip,60642
207,inspectiondate,02/18/2010
207,inspectiontype,complaint
207,results,pass
207,latitude,41.89427507
207,longitude,-87.65214171
208,inspectionid,58318
208,dbaname,devos kitchen room 128
208,akaname,devos kitchen room 128
208,license,2013962
208,facilitytype,school
208,risk,risk 1 (high)
208,address,900 n north branch st 
208,city,chicago
208,state,il
208,zip,60642
208,inspectiondate,02/19/2010
208,inspectiontype,license
208,results,pass
208,latitude,41.89896533
208,longitude,-87.64809026
209,inspectionid,58319
209,dbaname,lab kitchen a room 120a
209,akaname,lab kitchen a room 120a
209,license,2013962
209,facilitytype,school
209,risk,risk 1 (high)
209,address,900 n north branch st 
209,city,chicago
209,state,il
209,zip,60642
209,inspectiondate,02/19/2010
209,inspectiontype,license
209,results,pass
209,latitude,41.89896533
209,longitude,-87.64809026
210,inspectionid,58320
210,dbaname,chocolate & sugar kitchen room 317
210,akaname,chocolate & sugar kitchen room 317
210,license,2013962
210,facilitytype,school
210,risk,risk 1 (high)
210,address,900 n north branch st 
210,city,chicago
210,state,il
210,zip,60642
210,inspectiondate,02/19/2010
210,inspectiontype,license
210,results,pass
210,latitude,41.89896533
210,longitude,-87.64809026
211,inspectionid,58321
211,dbaname,cooktek pastry 2 room 320b
211,akaname,cooktek pastry 2 room 320b
211,license,2013962
211,facilitytype,school
211,risk,risk 1 (high)
211,address,900 n north branch st 
211,city,chicago
211,state,il
211,zip,60642
211,inspectiondate,02/19/2010
211,inspectiontype,license
211,results,pass
211,latitude,41.89896533
211,longitude,-87.64809026
212,inspectionid,58322
212,dbaname,garde manger kitchen room 330
212,akaname,garde manger kitchen room 330
212,license,2013962
212,facilitytype,school
212,risk,risk 1 (high)
212,address,900 n north branch st 
212,city,chicago
212,state,il
212,zip,60642
212,inspectiondate,02/19/2010
212,inspectiontype,license
212,results,pass
212,latitude,41.89896533
212,longitude,-87.64809026
213,inspectionid,58323
213,dbaname,kendall college
213,akaname,kendall college
213,license,2013962
213,facilitytype,school
213,risk,risk 1 (high)
213,address,900 n north branch st 
213,city,chicago
213,state,il
213,zip,60642
213,inspectiondate,02/19/2010
213,inspectiontype,license
213,results,pass
213,latitude,41.89896533
213,longitude,-87.64809026
214,inspectionid,58324
214,dbaname,wood mode auditorium room 525
214,akaname,wood mode auditorium room 525
214,license,2013962
214,facilitytype,school
214,risk,risk 1 (high)
214,address,900 n north branch st 
214,city,chicago
214,state,il
214,zip,60642
214,inspectiondate,02/19/2010
214,inspectiontype,license
214,results,pass
214,latitude,41.89896533
214,longitude,-87.64809026
215,inspectionid,58325
215,dbaname,franke kitchen room 526
215,akaname,franke kitchen room 526
215,license,2013962
215,facilitytype,school
215,risk,risk 1 (high)
215,address,900 n north branch st 
215,city,chicago
215,state,il
215,zip,60642
215,inspectiondate,02/19/2010
215,inspectiontype,license
215,results,pass
215,latitude,41.89896533
215,longitude,-87.64809026
216,inspectionid,58326
216,dbaname,nivia red hot chicago
216,akaname,nivia red hot chicago
216,license,1645741
216,facilitytype,restaurant
216,risk,risk 2 (medium)
216,address,1232 w north ave 
216,city,chicago
216,state,il
216,zip,60622
216,inspectiondate,02/19/2010
216,inspectiontype,complaint
216,results,fail
216,latitude,41.91087554
216,longitude,-87.65827824
217,inspectionid,58327
217,dbaname,hollywood grill
217,akaname,hollywood grill
217,license,44712
217,facilitytype,restaurant
217,risk,risk 1 (high)
217,address,1601 w north ave 
217,city,chicago
217,state,il
217,zip,60622
217,inspectiondate,02/22/2010
217,inspectiontype,complaint
217,results,pass w/ conditions
217,latitude,41.91051964
217,longitude,-87.66774969
218,inspectionid,58328
218,dbaname,candy's grocery
218,akaname,candy's grocery
218,license,1804339
218,facilitytype,grocery store
218,risk,risk 3 (low)
218,address,1366 w ohio st 
218,city,chicago
218,state,il
218,zip,60642
218,inspectiondate,02/22/2010
218,inspectiontype,complaint
218,results,fail
218,latitude,41.8925997
218,longitude,-87.6621487
219,inspectionid,58329
219,dbaname,pritzker
219,akaname,pritzker
219,license,25871
219,facilitytype,school
219,risk,risk 1 (high)
219,address,2009 w schiller st 
219,city,chicago
219,state,il
219,zip,60622
219,inspectiondate,02/23/2010
219,inspectiontype,canvass
219,results,pass
219,latitude,41.907025
219,longitude,-87.67779555
220,inspectionid,58330
220,dbaname,odges
220,akaname,odges
220,license,7868
220,facilitytype,restaurant
220,risk,risk 1 (high)
220,address,730 n damen ave 
220,city,chicago
220,state,il
220,zip,60622
220,inspectiondate,02/23/2010
220,inspectiontype,canvass
220,results,pass
220,latitude,41.89500137
220,longitude,-87.6771711
221,inspectionid,58331
221,dbaname,whole foods market
221,akaname,whole foods market
221,license,1933690
221,facilitytype,grocery store
221,risk,risk 1 (high)
221,address,1550 n kingsbury st 
221,city,chicago
221,state,il
221,zip,60642
221,inspectiondate,02/23/2010
221,inspectiontype,consultation
221,results,pass
221,latitude,41.90939879
221,longitude,-87.6530507
222,inspectionid,58332
222,dbaname,the juicy wine co.
222,akaname,the juicy wine co.
222,license,1738131
222,facilitytype,restaurant
222,risk,risk 2 (medium)
222,address,694 n milwaukee ave 
222,city,chicago
222,state,il
222,zip,60642
222,inspectiondate,02/23/2010
222,inspectiontype,consultation
222,results,pass
222,latitude,41.89422978
222,longitude,-87.65252071
223,inspectionid,58333
223,dbaname,river west healthy eatery
223,akaname,river west healthy eatery
223,license,1618062
223,facilitytype,restaurant
223,risk,risk 1 (high)
223,address,770 n halsted st 
223,city,chicago
223,state,il
223,zip,60642
223,inspectiondate,02/23/2010
223,inspectiontype,canvass
223,results,pass
223,latitude,41.89637817
223,longitude,-87.64789119
224,inspectionid,58334
224,dbaname,shokolad pastry & cafe
224,akaname,shokolad pastry & cafe
224,license,1883567
224,facilitytype,restaurant
224,risk,risk 1 (high)
224,address,2524 w chicago ave 
224,city,chicago
224,state,il
224,zip,60622
224,inspectiondate,02/24/2010
224,inspectiontype,canvass
224,results,pass
224,latitude,41.89581526
224,longitude,-87.69048155
225,inspectionid,58335
225,dbaname,kasia's
225,akaname,kasia's
225,license,1473392
225,facilitytype,grocery store
225,risk,risk 1 (high)
225,address,2101 w chicago ave 
225,city,chicago
225,state,il
225,zip,60622
225,inspectiondate,02/24/2010
225,inspectiontype,canvass
225,results,pass
225,latitude,41.8957563
225,longitude,-87.6796197
226,inspectionid,58336
226,dbaname,garrett's popcorn shops
226,akaname,garrett's popcorn shops
226,license,1770430
226,facilitytype,wholesale
226,risk,risk 3 (low)
226,address,1716 w hubbard st 
226,city,chicago
226,state,il
226,zip,60622
226,inspectiondate,02/25/2010
226,inspectiontype,canvass
226,results,pass
226,latitude,41.8899446
226,longitude,-87.67028663
227,inspectionid,58337
227,dbaname,mable's table
227,akaname,mable's table
227,license,1620385
227,facilitytype,restaurant
227,risk,risk 1 (high)
227,address,1653-1655 w cortland st 
227,city,chicago
227,state,il
227,zip,60622
227,inspectiondate,02/25/2010
227,inspectiontype,canvass
227,results,pass
227,latitude,41.91596941
227,longitude,-87.66995938
228,inspectionid,58338
228,dbaname,center home for hispanic elderly
228,akaname,center home for hispanic elderly
228,license,1893767
228,facilitytype,long term care
228,risk,risk 1 (high)
228,address,1401 n california ave 
228,city,chicago
228,state,il
228,zip,60622
228,inspectiondate,02/25/2010
228,inspectiontype,canvass
228,results,fail
228,latitude,41.90667133
228,longitude,-87.69682456
229,inspectionid,58339
229,dbaname,mr taco's
229,akaname,mr taco's
229,license,63583
229,facilitytype,restaurant
229,risk,risk 1 (high)
229,address,810 n marshfield ave 
229,city,chicago
229,state,il
229,zip,60622
229,inspectiondate,02/26/2010
229,inspectiontype,canvass
229,results,pass
229,latitude,41.89641176
229,longitude,-87.66867223
230,inspectionid,58340
230,dbaname,norwegian-american hospital
230,akaname,norwegian-american hospital
230,license,21776
230,facilitytype,hospital
230,risk,risk 1 (high)
230,address,1044 n francisco ave 
230,city,chicago
230,state,il
230,zip,60622
230,inspectiondate,02/26/2010
230,inspectiontype,canvass
230,results,fail
230,latitude,41.90052496
230,longitude,-87.69943295
231,inspectionid,58341
231,dbaname,norwegian-american hospital
231,akaname,norwegian-american hospital
231,license,21772
231,facilitytype,hospital
231,risk,risk 1 (high)
231,address,1044 n francisco ave 
231,city,chicago
231,state,il
231,zip,60622
231,inspectiondate,03/02/2010
231,inspectiontype,canvass
231,results,fail
231,latitude,41.90052496
231,longitude,-87.69943295
232,inspectionid,58342
232,dbaname,sangria/radiostar/hogs & honeys
232,akaname,sangria/radiostar/hogs & honeys
232,license,27196
232,facilitytype,restaurant
232,risk,risk 1 (high)
232,address,901 w weed st 
232,city,chicago
232,state,il
232,zip,60642
232,inspectiondate,03/02/2010
232,inspectiontype,complaint
232,results,fail
232,latitude,41.90970258
232,longitude,-87.6511788
233,inspectionid,58343
233,dbaname,republic
233,akaname,republic
233,license,55715
233,facilitytype,liquor
233,risk,risk 3 (low)
233,address,901 w weed st 
233,city,chicago
233,state,il
233,zip,60642
233,inspectiondate,03/02/2010
233,inspectiontype,canvass
233,results,fail
233,latitude,41.90970258
233,longitude,-87.6511788
234,inspectionid,58344
234,dbaname,mud bug
234,akaname,mud bug
234,license,45012
234,facilitytype,restaurant
234,risk,risk 1 (high)
234,address,901 w weed st 
234,city,chicago
234,state,il
234,zip,60642
234,inspectiondate,03/02/2010
234,inspectiontype,canvass
234,results,pass
234,latitude,41.90970258
234,longitude,-87.6511788
235,inspectionid,58345
235,dbaname,burger king #1512
235,akaname,burger king #1512
235,license,1473491
235,facilitytype,restaurant
235,risk,risk 2 (medium)
235,address,2344 w chicago ave 
235,city,chicago
235,state,il
235,zip,60622
235,inspectiondate,03/04/2010
235,inspectiontype,complaint
235,results,pass
235,latitude,41.89586332
235,longitude,-87.68619201
236,inspectionid,58346
236,dbaname,hollywood grill
236,akaname,hollywood grill
236,license,44712
236,facilitytype,restaurant
236,risk,risk 1 (high)
236,address,1601 w north ave 
236,city,chicago
236,state,il
236,zip,60622
236,inspectiondate,03/04/2010
236,inspectiontype,consultation
236,results,pass
236,latitude,41.91051964
236,longitude,-87.66774969
237,inspectionid,58347
237,dbaname,the savoy
237,akaname,the savoy
237,license,1964646
237,facilitytype,restaurant
237,risk,risk 1 (high)
237,address,1408 n milwaukee ave 
237,city,chicago
237,state,il
237,zip,60622
237,inspectiondate,03/04/2010
237,inspectiontype,canvass
237,results,pass
237,latitude,41.90742473
237,longitude,-87.67307367
238,inspectionid,58348
238,dbaname,university of aesthetics/touch clinic
238,akaname,university of aesthetics/touch clinic
238,license,1516556
238,facilitytype,
238,risk,
238,address,1357 n milwaukee ave 
238,city,chicago
238,state,il
238,zip,60622
238,inspectiondate,03/04/2010
238,inspectiontype,short form complaint
238,results,pass
238,latitude,41.90659584
238,longitude,-87.67132302
239,inspectionid,58349
239,dbaname,center home for hispanic elderly
239,akaname,center home for hispanic elderly
239,license,1893767
239,facilitytype,long term care
239,risk,risk 1 (high)
239,address,1401 n california ave 
239,city,chicago
239,state,il
239,zip,60622
239,inspectiondate,03/04/2010
239,inspectiontype,canvass re-inspection
239,results,pass
239,latitude,41.90667133
239,longitude,-87.69682456
240,inspectionid,58350
240,dbaname,el taco veloz taqueria
240,akaname,el taco veloz taqueria
240,license,45693
240,facilitytype,restaurant
240,risk,risk 1 (high)
240,address,1745 w chicago ave 
240,city,chicago
240,state,il
240,zip,60622
240,inspectiondate,03/05/2010
240,inspectiontype,complaint
240,results,fail
240,latitude,41.89589266
240,longitude,-87.67156245
241,inspectionid,58351
241,dbaname,nivia red hot chicago
241,akaname,nivia red hot chicago
241,license,1645741
241,facilitytype,restaurant
241,risk,risk 2 (medium)
241,address,1232 w north ave 
241,city,chicago
241,state,il
241,zip,60622
241,inspectiondate,03/05/2010
241,inspectiontype,complaint re-inspection
241,results,pass
241,latitude,41.91087554
241,longitude,-87.65827824
242,inspectionid,58352
242,dbaname,candy's grocery
242,akaname,candy's grocery
242,license,1804339
242,facilitytype,grocery store
242,risk,risk 3 (low)
242,address,1366 w ohio st 
242,city,chicago
242,state,il
242,zip,60642
242,inspectiondate,03/08/2010
242,inspectiontype,complaint re-inspection
242,results,pass
242,latitude,41.8925997
242,longitude,-87.6621487
243,inspectionid,58353
243,dbaname,jerry's sandwiches
243,akaname,jerry's sandwiches
243,license,1985220
243,facilitytype,restaurant
243,risk,risk 1 (high)
243,address,1938-1940 w division st 
243,city,chicago
243,state,il
243,zip,60622
243,inspectiondate,03/08/2010
243,inspectiontype,short form complaint
243,results,pass
243,latitude,41.90331444
243,longitude,-87.67641672
244,inspectionid,58354
244,dbaname,jerry's sandwiches
244,akaname,jerry's sandwiches
244,license,1772358
244,facilitytype,restaurant
244,risk,risk 1 (high)
244,address,1938 w division st 
244,city,chicago
244,state,il
244,zip,60622
244,inspectiondate,03/08/2010
244,inspectiontype,out of business
244,results,pass
244,latitude,41.90331444
244,longitude,-87.67641672
245,inspectionid,58355
245,dbaname,folklore
245,akaname,folklore
245,license,1842767
245,facilitytype,restaurant
245,risk,risk 1 (high)
245,address,2100-2102 w division st 
245,city,chicago
245,state,il
245,zip,60622
245,inspectiondate,03/08/2010
245,inspectiontype,canvass
245,results,pass
245,latitude,41.90325452
245,longitude,-87.67982505
246,inspectionid,58356
246,dbaname,social club
246,akaname,social club
246,license,2082871
246,facilitytype,
246,risk,
246,address,1105 n california ave 
246,city,chicago
246,state,il
246,zip,60622
246,inspectiondate,03/08/2010
246,inspectiontype,short form complaint
246,results,pass
246,latitude,41.901286
246,longitude,-87.69669243
247,inspectionid,58357
247,dbaname,norwegian-american hospital
247,akaname,norwegian-american hospital
247,license,21776
247,facilitytype,hospital
247,risk,risk 1 (high)
247,address,1044 n francisco ave 
247,city,chicago
247,state,il
247,zip,60622
247,inspectiondate,03/09/2010
247,inspectiontype,canvass re-inspection
247,results,pass
247,latitude,41.90052496
247,longitude,-87.69943295
248,inspectionid,58358
248,dbaname,norwegian-american hospital
248,akaname,norwegian-american hospital
248,license,21772
248,facilitytype,hospital
248,risk,risk 1 (high)
248,address,1044 n francisco ave 
248,city,chicago
248,state,il
248,zip,60622
248,inspectiondate,03/09/2010
248,inspectiontype,canvass re-inspection
248,results,pass
248,latitude,41.90052496
248,longitude,-87.69943295
249,inspectionid,58359
249,dbaname,norwegian-american hospital
249,akaname,norwegian-american hospital
249,license,21773
249,facilitytype,hospital
249,risk,risk 1 (high)
249,address,1044 n francisco ave 
249,city,chicago
249,state,il
249,zip,60622
249,inspectiondate,03/09/2010
249,inspectiontype,out of business
249,results,pass
249,latitude,41.90052496
249,longitude,-87.69943295
250,inspectionid,58360
250,dbaname,ey cafe
250,akaname,ey cafe
250,license,1922329
250,facilitytype,restaurant
250,risk,risk 1 (high)
250,address,1044 n mozart st 
250,city,chicago
250,state,il
250,zip,60622
250,inspectiondate,03/09/2010
250,inspectiontype,canvass
250,results,pass
250,latitude,41.90051788
250,longitude,-87.69821707
251,inspectionid,58361
251,dbaname,sangria/radiostar/hogs & honeys
251,akaname,sangria/radiostar/hogs & honeys
251,license,27196
251,facilitytype,restaurant
251,risk,risk 1 (high)
251,address,901 w weed st 
251,city,chicago
251,state,il
251,zip,60642
251,inspectiondate,03/09/2010
251,inspectiontype,complaint re-inspection
251,results,pass
251,latitude,41.90970258
251,longitude,-87.6511788
252,inspectionid,58362
252,dbaname,lido's caffe east
252,akaname,lido's caffe east
252,license,1991007
252,facilitytype,restaurant
252,risk,risk 2 (medium)
252,address,1530 n dayton st 
252,city,chicago
252,state,il
252,zip,60642
252,inspectiondate,03/09/2010
252,inspectiontype,canvass
252,results,pass
252,latitude,41.90954219
252,longitude,-87.64960961
253,inspectionid,58363
253,dbaname,zentra
253,akaname,zentra
253,license,37577
253,facilitytype,restaurant
253,risk,risk 3 (low)
253,address,923 w weed st 
253,city,chicago
253,state,il
253,zip,60642
253,inspectiondate,03/09/2010
253,inspectiontype,no entry
253,results,pass
253,latitude,41.90968971
253,longitude,-87.65195482
254,inspectionid,58364
254,dbaname,boriken
254,akaname,boriken
254,license,1649303
254,facilitytype,grocery store
254,risk,risk 3 (low)
254,address,2500 w division st 
254,city,chicago
254,state,il
254,zip,60622
254,inspectiondate,03/10/2010
254,inspectiontype,canvass
254,results,pass
254,latitude,41.90310194
254,longitude,-87.68955175
255,inspectionid,58365
255,dbaname,western round up
255,akaname,western round up
255,license,59381
255,facilitytype,
255,risk,risk 1 (high)
255,address,949 n western ave 
255,city,chicago
255,state,il
255,zip,60622
255,inspectiondate,03/10/2010
255,inspectiontype,short form complaint
255,results,pass
255,latitude,41.89902107
255,longitude,-87.68677928
256,inspectionid,58366
256,dbaname,northwestern university settlement association
256,akaname,northwestern university settlement association
256,license,10731
256,facilitytype,children's services facility
256,risk,risk 1 (high)
256,address,1400 w augusta blvd 
256,city,chicago
256,state,il
256,zip,60642
256,inspectiondate,03/10/2010
256,inspectiontype,canvass
256,results,pass
256,latitude,41.89989385
256,longitude,-87.66262876
257,inspectionid,58367
257,dbaname,republic
257,akaname,republic
257,license,55715
257,facilitytype,liquor
257,risk,risk 3 (low)
257,address,901 w weed st 
257,city,chicago
257,state,il
257,zip,60642
257,inspectiondate,03/10/2010
257,inspectiontype,canvass
257,results,fail
257,latitude,41.90970258
257,longitude,-87.6511788
258,inspectionid,58368
258,dbaname,republic
258,akaname,republic
258,license,55715
258,facilitytype,liquor
258,risk,risk 3 (low)
258,address,901 w weed st 
258,city,chicago
258,state,il
258,zip,60642
258,inspectiondate,03/11/2010
258,inspectiontype,consultation
258,results,pass
258,latitude,41.90970258
258,longitude,-87.6511788
259,inspectionid,58369
259,dbaname,the rookery
259,akaname,the rookery
259,license,1869443
259,facilitytype,restaurant
259,risk,risk 1 (high)
259,address,2109 w chicago ave 
259,city,chicago
259,state,il
259,zip,60622
259,inspectiondate,03/11/2010
259,inspectiontype,complaint
259,results,fail
259,latitude,41.89575174
259,longitude,-87.67992373
260,inspectionid,58370
260,dbaname,division draft
260,akaname,division draft
260,license,1875106
260,facilitytype,restaurant
260,risk,risk 2 (medium)
260,address,2525 w division st 
260,city,chicago
260,state,il
260,zip,60622
